boosts,damageDealt,heals,killStreaks,longestKill,rideDistance,walkDistance,weaponsAcquired
7,722.3,2,1,356.6,2362.0,1432.0,4
0,379.6,0,1,19.28,0.0,367.3,4
0,0.0,0,0,0.0,0.0,97.04,2
0,4.46,0,0,0.0,907.7,2180.0,6
0,0.0,0,0,0.0,0.0,38.26,3
0,0.0,0,0,0.0,0.0,0.0,0
3,185.1,1,1,11.05,0.0,1190.0,4
3,100.0,0,1,10.9,0.0,1811.0,6
0,112.4,0,1,6.34,0.0,313.4,2
0,25.8,0,0,0.0,0.0,164.1,2
0,0.0,0,0,0.0,0.0,38.16,0
0,106.4,0,1,3.87,0.0,346.1,2
0,124.3,0,1,63.25,0.0,581.9,3
2,185.1,6,0,0.0,4170.0,1433.0,6
0,0.0,0,0,0.0,0.0,181.0,1
1,0.0,0,0,0.0,0.0,818.4,5
0,0.0,0,0,0.0,0.0,562.1,2
3,343.4,1,1,16.9,0.0,2057.0,2
0,0.0,0,0,0.0,0.0,527.9,2
0,200.0,0,1,210.6,0.0,1571.0,4
0,0.0,0,0,0.0,0.0,117.3,1
0,0.0,0,0,0.0,0.0,175.7,4
0,0.0,0,0,0.0,0.0,177.1,2
0,0.0,0,0,0.0,0.0,0.0,0
0,99.0,0,0,0.0,0.0,286.5,6
0,0.0,0,0,0.0,0.0,13.33,0
0,255.3,0,1,4.81,0.0,3290.0,3
0,55.44,0,0,0.0,0.0,53.34,1
0,30.02,0,0,0.0,0.0,816.6,2
0,0.0,0,0,0.0,0.0,26.31,1
0,0.0,0,0,0.0,0.0,16.73,0
2,21.07,1,0,0.0,4113.0,1202.0,7
0,0.0,0,0,0.0,0.0,227.1,2
5,334.6,3,1,37.01,1330.0,1860.0,4
0,74.82,0,0,0.0,0.0,15.42,1
0,81.84,0,0,0.0,0.0,27.41,1
1,274.8,8,1,78.84,2031.0,815.3,4
2,0.0,5,0,0.0,1135.0,890.2,4
0,0.0,0,0,0.0,0.0,98.32,3
0,129.4,1,1,63.2,1563.0,758.3,7
0,175.5,3,1,9.66,0.0,122.2,4
0,100.0,0,1,2.92,0.0,376.2,4
0,0.0,0,0,0.0,0.0,111.6,3
0,53.13,0,0,0.0,0.0,16.58,1
1,100.0,1,1,1.78,0.0,501.4,3
0,0.0,0,0,0.0,0.0,281.3,8
1,100.0,1,1,7.44,0.0,2044.0,2
1,38.95,5,0,0.0,0.0,3087.0,1
0,0.0,0,0,0.0,543.4,355.0,3
0,0.0,0,0,0.0,4301.0,617.3,4
5,198.3,1,0,0.0,0.0,1708.0,7
2,365.6,5,1,125.0,2027.0,1439.0,4
2,29.32,1,0,0.0,672.8,4399.0,3
0,0.0,0,0,0.0,0.0,0.0,0
0,0.0,0,0,0.0,0.0,58.74,4
1,48.8,0,0,0.0,1091.0,901.3,3
0,0.0,0,0,0.0,0.0,30.28,0
0,54.15,0,1,13.01,0.0,99.61,2
12,1963.0,4,2,356.6,2152.0,3998.0,7
0,0.0,0,0,0.0,0.0,1152.0,6
0,0.0,0,0,0.0,0.0,44.19,1
0,0.0,0,0,0.0,0.0,402.8,4
0,146.8,0,1,3.6,0.0,613.5,4
0,0.0,0,0,0.0,0.0,393.3,1
0,23.82,1,0,0.0,445.6,1471.0,6
1,100.0,2,1,11.2,0.0,192.4,2
1,797.2,0,2,76.83,0.0,1785.0,4
0,137.7,0,1,42.0,0.0,557.8,2
0,200.0,0,1,38.41,0.0,1316.0,3
0,0.0,0,0,0.0,5570.0,640.5,4
0,28.08,0,0,0.0,0.0,21.32,0
0,0.0,0,0,0.0,0.0,158.7,4
0,193.6,0,1,43.85,0.0,447.7,5
0,23.22,0,0,0.0,0.0,156.8,2
5,19.1,0,0,0.0,3561.0,1637.0,6
0,50.76,0,0,0.0,0.0,34.42,0
1,43.92,2,0,0.0,348.2,1455.0,6
0,200.0,0,1,36.09,0.0,193.8,4
3,200.0,3,1,23.47,0.0,1109.0,3
0,0.0,0,0,0.0,0.0,122.2,2
2,457.4,2,1,65.91,0.0,2846.0,7
3,553.9,4,1,75.41,1184.0,1769.0,6
2,26.46,1,0,0.0,3844.0,1089.0,5
7,385.0,7,1,111.2,1504.0,3656.0,6
0,0.0,0,0,0.0,0.0,0.0,2
2,0.0,5,0,0.0,0.0,3219.0,3
0,100.0,4,1,7.61,1758.0,472.6,3
1,198.0,1,0,0.0,0.0,0.0,8
0,0.0,0,0,0.0,0.0,70.29,0
0,0.0,0,0,0.0,0.0,264.9,3
0,109.5,0,1,11.23,0.0,485.9,3
0,190.7,0,1,28.06,2003.0,1152.0,7
5,58.69,0,0,0.0,0.0,1923.0,3
1,0.0,0,0,0.0,0.0,716.1,4
0,52.63,0,0,0.0,0.0,712.5,2
0,60.63,0,0,0.0,0.0,215.5,3
4,100.0,10,1,3.88,0.0,2723.0,5
0,100.0,5,1,1.06,0.0,100.4,1
0,90.0,0,1,25.52,0.0,96.15,2
0,127.7,0,0,0.0,0.0,633.0,2
0,0.0,0,0,0.0,764.0,349.7,2
1,100.0,1,1,0.91,0.0,604.3,5
1,76.97,0,1,71.12,0.0,1658.0,5
2,0.0,1,0,0.0,1317.0,2569.0,7
1,98.0,5,1,1.72,0.0,1028.0,6
0,0.0,0,0,0.0,0.0,16.35,1
0,540.0,0,0,0.0,0.0,0.0,2
0,0.0,0,0,0.0,0.0,9.99,0
0,50.61,0,0,0.0,14400.0,433.9,4
3,424.3,1,1,43.39,0.0,1564.0,8
0,0.0,0,0,0.0,0.0,724.3,4
1,149.6,5,1,25.19,4202.0,1787.0,11
1,98.28,1,0,0.0,0.0,171.7,1
0,26.51,0,0,0.0,0.01,1789.0,2
0,26.65,0,0,0.0,0.0,195.4,2
0,70.98,0,1,1.62,950.2,1627.0,6
4,200.0,3,1,78.56,4763.0,1765.0,7
3,46.3,1,0,0.0,0.0,2640.0,4
1,0.0,0,0,0.0,0.0,87.44,2
4,0.0,6,0,0.0,10460.0,2419.0,8
0,29.4,0,0,0.0,0.0,194.5,4
0,0.0,0,0,0.0,0.0,163.9,2
8,842.1,2,2,65.12,0.0,2812.0,3
2,173.6,0,1,3.96,174.4,984.2,6
0,231.4,0,1,32.29,0.0,558.1,3
3,0.84,0,0,0.0,822.4,1845.0,3
0,0.0,0,0,0.0,0.0,629.3,8
0,120.3,1,1,0.0,1644.0,643.5,3
1,0.0,1,0,0.0,4164.0,1814.0,6
3,248.9,6,1,74.96,0.0,2135.0,4
0,45.63,0,0,0.0,0.0,69.0,2
0,42.57,0,0,0.0,0.0,1255.0,6
1,229.6,1,1,51.27,3217.0,1016.0,3
9,100.0,2,1,7.15,8626.0,2067.0,5
0,100.0,0,1,43.0,0.0,45.58,2
3,631.9,1,1,60.69,0.0,4084.0,4
0,0.0,0,0,0.0,0.0,0.0,0
0,0.0,0,0,0.0,0.0,6.93,1
0,0.0,0,0,0.0,0.0,243.0,3
0,81.17,0,0,0.0,0.0,67.4,2
3,226.1,0,1,84.27,0.0,2334.0,3
1,100.0,1,1,4.1,0.0,118.4,3
2,245.5,1,1,17.68,467.2,2529.0,7
0,0.0,0,0,0.0,0.0,40.93,1
0,100.0,0,1,139.9,1636.0,853.5,4
1,253.3,1,1,13.79,0.0,469.8,3
0,0.0,0,0,0.0,0.0,249.5,2
0,246.8,0,1,0.0,0.0,409.4,2
0,160.6,1,1,1.73,0.0,1059.0,5
2,341.8,0,1,299.3,429.9,5205.0,7
0,0.0,0,0,0.0,0.0,0.0,3
1,96.05,1,0,0.0,0.0,585.9,2
0,99.0,0,0,0.0,0.0,0.0,1
0,421.4,4,1,98.88,0.0,2361.0,4
6,168.1,3,1,36.64,0.0,2546.0,7
1,100.0,0,1,12.79,0.0,308.4,4
0,34.32,1,0,0.0,0.76,891.4,4
0,126.4,0,0,0.0,0.0,0.0,0
0,169.1,2,1,7.41,0.0,3072.0,14
0,159.4,0,1,8.58,0.0,126.4,2
2,230.1,0,2,11.73,0.0,134.6,4
0,0.0,0,0,0.0,0.0,5.15,1
0,0.0,0,0,0.0,0.0,0.0,0
0,0.0,0,0,0.0,0.0,56.87,2
1,100.0,0,1,1.13,0.0,111.0,3
0,641.5,0,1,70.96,0.0,1091.0,5
0,0.0,0,0,0.0,0.0,102.5,4
0,29.4,0,0,0.0,0.0,34.92,1
0,0.0,0,0,0.0,625.1,439.8,4
0,43.0,0,0,0.0,0.0,3.71,2
0,0.0,0,0,0.0,0.0,0.0,0
0,77.48,0,0,0.0,0.0,189.5,2
3,386.0,13,1,38.07,3841.0,2501.0,3
0,0.0,0,0,0.0,0.0,258.4,3
0,0.0,0,0,0.0,0.0,0.0,0
0,0.0,1,0,0.0,0.0,1109.0,4
2,289.0,1,1,3.77,0.0,943.7,2
9,586.0,0,1,87.38,2574.0,2291.0,5
3,231.1,2,1,26.66,0.0,961.4,3
0,82.56,0,0,0.0,0.0,34.54,2
0,183.8,0,1,3.1,0.0,1208.0,4
0,125.8,0,1,13.97,1928.0,1540.0,3
0,0.0,0,0,0.0,0.0,8.4,0
1,49.27,0,0,0.0,0.0,1230.0,3
0,200.0,0,1,55.41,0.0,2644.0,2
1,217.2,0,1,23.38,0.0,2055.0,4
2,632.3,1,1,101.3,383.5,2170.0,3
3,329.9,1,1,60.06,0.0,2113.0,4
0,0.0,0,0,0.0,0.0,19.59,1
0,200.0,2,1,33.06,2091.0,2349.0,7
0,0.0,0,0,0.0,0.0,0.0,0
0,0.0,0,0,0.0,0.0,0.0,0
0,0.0,0,0,0.0,0.0,115.8,2
2,481.1,1,1,213.1,8009.0,1176.0,4
8,481.9,3,1,223.4,5609.0,2596.0,10
0,0.0,0,0,0.0,0.0,269.8,3
2,119.3,6,1,11.22,0.0,1735.0,6
3,585.1,1,2,124.2,0.0,571.3,3
0,0.0,0,0,0.0,0.0,44.45,2
0,0.0,0,0,0.0,0.0,214.8,1
4,24.25,6,0,0.0,6743.0,1714.0,6
0,0.0,0,0,0.0,6502.0,2261.0,5
0,60.06,0,0,0.0,0.0,100.5,3
1,278.0,3,1,7.25,0.0,236.1,4
0,0.0,0,0,0.0,0.0,271.1,10
0,71.61,0,0,0.0,0.0,0.0,0
5,644.0,0,1,266.0,0.0,3286.0,6
7,109.3,4,1,4.35,612.6,4607.0,4
1,200.0,2,1,25.57,0.0,384.7,4
7,200.0,0,1,217.1,5712.0,1382.0,7
2,165.4,0,1,4.19,1653.0,2786.0,7
2,52.67,3,0,0.0,1165.0,3215.0,7
0,0.0,0,0,0.0,11000.0,651.9,7
0,0.0,0,0,0.0,0.0,0.0,1
1,422.9,16,1,19.98,0.0,2387.0,6
0,100.0,0,1,4.37,0.0,89.29,1
0,55.1,0,0,0.0,0.0,133.4,2
0,0.0,0,0,0.0,0.0,147.7,3
0,0.0,0,0,0.0,0.0,121.5,1
0,13.23,0,0,0.0,0.0,261.5,5
1,202.0,6,1,23.49,162.5,2114.0,4
6,91.35,0,1,2.75,0.0,1643.0,5
0,0.0,0,0,0.0,0.0,0.0,0
0,55.62,0,0,0.0,0.0,237.4,2
0,100.0,0,1,13.6,0.0,235.1,4
2,25.8,1,0,0.0,0.0,1951.0,3
0,0.0,0,0,0.0,0.0,756.5,3
0,86.96,0,0,0.0,0.0,1259.0,7
0,297.4,1,1,18.76,0.0,264.9,2
0,94.59,0,0,0.0,1379.0,912.5,10
3,200.0,4,1,5.47,7020.0,937.1,3
0,100.0,0,1,13.93,0.0,134.9,1
0,0.0,0,0,0.0,0.0,25.95,2
3,0.0,7,0,0.0,0.0,2328.0,4
11,493.6,0,1,168.4,2228.0,1518.0,3
0,0.0,0,0,0.0,0.0,101.9,2
0,0.0,0,0,0.0,0.0,432.0,4
0,0.0,0,0,0.0,944.9,277.9,1
0,99.0,0,0,0.0,0.0,0.0,4
1,0.0,1,0,0.0,0.0,462.6,2
1,0.0,0,0,0.0,0.0,104.5,6
0,0.0,0,0,0.0,0.01,1945.0,3
0,166.9,0,1,1.82,0.0,967.1,10
0,200.0,1,1,45.44,0.0,396.8,5
4,60.1,1,1,32.5,0.0,1486.0,7
10,323.1,1,1,37.53,0.0,2066.0,4
0,0.0,0,0,0.0,5200.0,603.9,3
0,0.0,0,0,0.0,0.0,67.39,2
3,149.4,3,1,7.64,0.0,793.9,3
6,6.74,8,0,0.0,0.0,3230.0,7
0,29.4,0,0,0.0,0.0,25.79,1
0,70.89,0,0,0.0,0.0,70.63,1
0,0.0,0,0,0.0,0.0,99.91,2
4,506.4,1,1,88.48,0.0,1596.0,3
0,0.0,0,0,0.0,0.0,20.47,2
1,100.0,1,1,15.61,382.2,1231.0,4
0,39.0,0,0,0.0,0.0,120.0,3
0,0.0,0,0,0.0,0.0,67.34,1
0,9.67,1,1,5.54,0.0,64.02,1
0,0.0,0,0,0.0,0.0,30.29,1
0,26.0,0,0,0.0,0.0,0.0,1
0,23.22,0,0,0.0,0.0,54.62,1
0,0.0,0,0,0.0,0.0,176.3,4
2,100.0,2,1,33.65,4524.0,1390.0,6
0,78.4,0,0,0.0,1289.0,253.9,4
0,0.0,0,0,0.0,0.0,13.65,2
8,354.6,0,1,53.25,2855.0,2554.0,8
0,0.0,0,0,0.0,0.0,757.7,3
0,0.0,0,0,0.0,0.0,12.88,0
0,110.9,0,1,31.45,0.0,363.8,3
0,0.0,0,0,0.0,0.0,1063.0,4
4,254.0,3,1,118.2,0.0,3308.0,8
0,0.0,0,0,0.0,0.0,41.89,0
0,0.0,0,0,0.0,0.0,0.0,5
0,60.2,0,0,0.0,0.0,68.66,2
0,18.72,0,0,0.0,158.6,275.3,1
1,100.0,3,1,5.45,0.0,454.9,1
0,186.7,0,1,63.83,0.0,99.71,1
0,33.08,0,0,0.0,0.0,0.0,1
5,301.8,2,1,100.2,750.5,1416.0,4
5,142.5,0,1,20.55,0.0,1762.0,6
0,198.0,0,0,0.0,0.0,0.0,12
1,96.13,0,1,148.8,4450.0,2170.0,5
1,100.0,1,1,10.01,0.0,1578.0,8
3,0.0,2,0,0.0,3764.0,1064.0,1
0,0.0,0,0,0.0,0.0,37.18,1
0,0.0,0,0,0.0,0.0,64.46,1
0,0.0,0,0,0.0,0.0,51.44,1
1,415.8,1,1,176.6,373.5,1774.0,2
0,0.0,0,0,0.0,0.0,110.5,1
0,0.0,0,0,0.0,667.4,717.3,2
0,28.73,0,0,0.0,0.0,73.15,2
4,157.2,12,1,24.62,0.0,2502.0,5
2,77.91,1,1,13.76,2976.0,2755.0,5
4,711.2,2,2,314.7,7804.0,1067.0,8
3,34.3,0,0,0.0,0.0,2141.0,5
4,98.75,2,1,5.5,0.0,2114.0,5
0,100.0,0,1,9.02,0.0,508.6,4
0,0.0,0,0,0.0,0.0,12.79,1
1,0.0,1,0,0.0,0.0,1125.0,4
2,229.2,2,1,71.64,762.6,1055.0,2
1,100.0,0,1,20.27,4321.0,595.0,1
0,22.6,0,1,129.5,0.0,150.4,4
0,0.0,0,0,0.0,0.0,118.1,0
0,0.0,0,0,0.0,0.0,0.0,0
0,0.0,0,0,0.0,0.0,185.3,2
0,0.0,0,0,0.0,0.0,143.9,2
5,688.7,4,1,60.45,271.0,1256.0,4
0,0.0,0,0,0.0,0.0,112.0,1
1,29.4,1,0,0.0,0.0,546.2,4
0,0.0,0,0,0.0,0.0,0.0,0
1,0.0,0,0,0.0,0.0,296.3,2
0,30.52,0,0,0.0,0.0,62.06,2
1,0.0,0,0,0.0,0.0,1410.0,5
0,0.0,0,0,0.0,0.0,0.0,0
0,0.0,0,0,0.0,194.1,480.0,2
0,276.6,0,0,0.0,0.0,0.0,5
0,0.0,0,0,0.0,0.0,9.8,0
3,200.0,1,1,29.09,0.0,2357.0,7
0,0.0,2,0,0.0,0.0,210.7,2
0,219.3,0,0,0.0,0.0,0.0,11
0,0.0,0,0,0.0,0.0,894.5,2
0,49.14,0,0,0.0,0.0,94.14,2
0,56.33,0,0,0.0,0.0,145.4,3
0,56.76,0,0,0.0,0.0,190.8,3
4,0.0,1,0,0.0,4990.0,1999.0,4
0,0.0,0,0,0.0,0.0,13.54,0
0,98.0,0,0,0.0,0.0,205.4,2
0,0.0,0,0,0.0,0.0,384.4,4
0,0.0,0,0,0.0,0.0,576.4,5
0,0.0,1,0,0.0,0.0,195.0,1
0,100.0,0,1,2.48,2729.0,659.1,5
0,0.0,0,0,0.0,0.0,94.25,1
0,0.0,1,0,0.0,0.0,168.2,2
0,50.0,0,0,0.0,1554.0,1352.0,6
0,56.1,0,1,6.21,0.0,324.0,4
0,100.0,0,1,40.72,0.0,46.75,1
5,162.3,1,1,77.55,2889.0,4436.0,7
0,84.24,0,0,0.0,0.0,1.12,0
5,701.5,7,1,100.5,485.4,3142.0,6
9,392.5,3,2,33.78,0.0,2255.0,4
0,100.0,0,1,19.34,0.0,2252.0,9
0,133.1,0,1,13.13,0.0,1456.0,3
4,187.3,4,1,11.4,5312.0,1152.0,5
1,0.0,0,0,0.0,0.0,439.0,4
0,0.0,0,0,0.0,0.0,71.02,1
0,0.0,0,0,0.0,0.0,59.1,0
6,336.4,9,1,24.75,0.0,1635.0,5
0,0.0,0,0,0.0,594.4,364.9,2
0,30.03,0,0,0.0,0.0,753.7,2
3,179.3,3,1,4.85,905.9,1792.0,4
0,0.0,2,0,0.0,0.0,4605.0,5
0,0.0,0,0,0.0,0.0,289.0,3
0,195.9,0,1,10.35,3003.0,643.9,4
5,157.0,3,1,60.85,8445.0,1120.0,4
4,486.0,2,1,79.13,2066.0,1416.0,5
0,45.03,0,0,0.0,0.0,381.7,4
0,0.0,0,0,0.0,0.0,837.6,7
0,0.0,0,0,0.0,0.0,110.3,1
0,118.8,0,0,0.0,0.0,0.0,2
0,0.0,0,0,0.0,0.0,197.8,3
2,100.0,0,1,23.12,0.0,2982.0,2
3,30.1,0,0,0.0,0.0,1071.0,2
3,0.0,0,0,0.0,0.0,775.8,6
3,106.5,2,1,15.49,4706.0,790.2,6
0,0.0,0,0,0.0,0.0,0.0,0
1,98.0,0,1,14.1,0.0,3273.0,12
0,0.0,0,0,0.0,0.0,194.8,3
2,200.0,0,1,29.4,0.0,1349.0,4
0,33.47,0,0,0.0,3982.0,3011.0,4
0,49.71,0,0,0.0,0.0,363.3,6
2,298.2,4,1,79.4,0.0,1381.0,2
0,0.0,0,0,0.0,0.0,151.9,1
1,197.0,4,1,153.3,20.11,850.5,3
2,19.35,2,0,0.0,6567.0,1248.0,4
0,0.0,0,0,0.0,0.0,148.2,1
0,10.5,0,0,0.0,0.0,410.0,2
0,60.62,0,1,149.7,0.0,2703.0,3
0,0.0,0,0,0.0,0.0,1120.0,4
0,0.0,0,0,0.0,0.0,239.7,3
0,0.0,0,0,0.0,0.0,0.0,1
0,108.9,0,0,0.0,0.0,0.0,2
0,85.75,0,0,0.0,0.0,259.9,1
0,0.0,0,0,0.0,0.0,88.27,3
0,0.0,0,0,0.0,0.0,108.4,2
0,0.0,0,0,0.0,0.0,96.44,0
